# #   index   ;    x_undf  ;    y_undf  ;    z_undf  ;    ux      ;    uy      ;    uz      ;    eps_x   ;    eps_y   ;    eps_xy  ;    eps_eqv 
2.0;0.0;0.0;2.0;0.0;0.14732;-0.00037;0.11323;-0.03737;-0.0;0.11323
6.0;89.8;0.0;2.0;0.10328;0.03986;-0.01179;0.06076;2.26365;8e-05;3.94399
8.0;1.49667;0.0;2.0;0.0017;0.14731;-0.00037;0.11323;-0.03737;-0.0;0.11323
10.0;2.99333;0.0;2.0;0.00339;0.14726;-0.00037;0.11323;-0.03736;-0.0;0.11323
12.0;4.49;0.0;2.0;0.00509;0.14719;-0.00037;0.11322;-0.03736;-0.0;0.11322
14.0;5.98667;0.0;2.0;0.00678;0.14709;-0.00037;0.11322;-0.03736;-0.0;0.11322
16.0;7.48333;0.0;2.0;0.00848;0.14696;-0.00037;0.11321;-0.03736;-0.0;0.11321
18.0;8.98;0.0;2.0;0.01017;0.1468;-0.00037;0.11321;-0.03736;-0.0;0.11321
20.0;10.47667;0.0;2.0;0.01187;0.14661;-0.00037;0.1132;-0.03736;-0.0;0.1132
22.0;11.97333;0.0;2.0;0.01356;0.14639;-0.00037;0.11319;-0.03735;-0.0;0.11319
24.0;13.47;0.0;2.0;0.01526;0.14614;-0.00037;0.11318;-0.03735;-0.0;0.11318
26.0;14.96667;0.0;2.0;0.01695;0.14586;-0.00037;0.11316;-0.03734;-0.0;0.11316
28.0;16.46333;0.0;2.0;0.01865;0.14555;-0.00037;0.11315;-0.03734;-0.0;0.11315
30.0;17.96;0.0;2.0;0.02034;0.14521;-0.00037;0.11314;-0.03734;-0.0;0.11314
32.0;19.45667;0.0;2.0;0.02204;0.14484;-0.00037;0.11312;-0.03733;-0.0;0.11312
34.0;20.95333;0.0;2.0;0.02373;0.14443;-0.00037;0.1131;-0.03732;-0.0;0.1131
36.0;22.45;0.0;2.0;0.02542;0.144;-0.00037;0.11309;-0.03732;-0.0;0.11309
38.0;23.94667;0.0;2.0;0.02712;0.14353;-0.00037;0.11307;-0.03731;-0.0;0.11307
40.0;25.44333;0.0;2.0;0.02881;0.14303;-0.00037;0.11304;-0.03731;-0.0;0.11304
42.0;26.94;0.0;2.0;0.0305;0.1425;-0.00037;0.11302;-0.0373;-0.0;0.11302
44.0;28.43667;0.0;2.0;0.03219;0.14193;-0.00037;0.113;-0.03729;-0.0;0.113
46.0;29.93333;0.0;2.0;0.03389;0.14133;-0.00037;0.11298;-0.03728;-0.0;0.11298
48.0;31.43;0.0;2.0;0.03558;0.1407;-0.00037;0.11295;-0.03727;-0.0;0.11295
50.0;32.92667;0.0;2.0;0.03727;0.14003;-0.00037;0.11292;-0.03727;-0.0;0.11292
52.0;34.42333;0.0;2.0;0.03896;0.13932;-0.00037;0.1129;-0.03726;-0.0;0.1129
54.0;35.92;0.0;2.0;0.04065;0.13857;-0.00037;0.11287;-0.03725;-0.0;0.11287
56.0;37.41667;0.0;2.0;0.04234;0.13779;-0.00037;0.11284;-0.03724;-0.0;0.11284
58.0;38.91333;0.0;2.0;0.04403;0.13697;-0.00037;0.11281;-0.03723;-0.0;0.11281
60.0;40.41;0.0;2.0;0.04572;0.13611;-0.00037;0.11278;-0.03722;-0.0;0.11278
62.0;41.90667;0.0;2.0;0.04741;0.1352;-0.00037;0.11275;-0.03721;-0.0;0.11275
64.0;43.40333;0.0;2.0;0.04909;0.13425;-0.00037;0.11272;-0.0372;-0.0;0.11272
66.0;44.9;0.0;2.0;0.05078;0.13326;-0.00037;0.11268;-0.03719;-0.0;0.11268
68.0;46.39667;0.0;2.0;0.05247;0.13223;-0.00037;0.11264;-0.03717;-0.0;0.11264
70.0;47.89333;0.0;2.0;0.05415;0.13114;-0.00037;0.11261;-0.03716;-0.0;0.11261
72.0;49.39;0.0;2.0;0.05584;0.13001;-0.00037;0.11257;-0.03715;-0.0;0.11257
74.0;50.88667;0.0;2.0;0.05753;0.12883;-0.00036;0.11253;-0.03714;-0.0;0.11253
76.0;52.38333;0.0;2.0;0.05921;0.12759;-0.00036;0.11249;-0.03712;-0.0;0.11249
78.0;53.88;0.0;2.0;0.06089;0.1263;-0.00036;0.11246;-0.03711;-0.0;0.11246
80.0;55.37667;0.0;2.0;0.06258;0.12495;-0.00036;0.11242;-0.0371;-0.0;0.11242
82.0;56.87333;0.0;2.0;0.06426;0.12354;-0.00036;0.11238;-0.03709;-0.0;0.11238
84.0;58.37;0.0;2.0;0.06594;0.12206;-0.00036;0.11233;-0.03707;-0.0;0.11233
86.0;59.86667;0.0;2.0;0.06762;0.12052;-0.00036;0.1123;-0.03706;-0.0;0.1123
88.0;61.36333;0.0;2.0;0.0693;0.1189;-0.00036;0.11225;-0.03704;-0.0;0.11225
90.0;62.86;0.0;2.0;0.07098;0.11721;-0.00036;0.1122;-0.03703;-0.0;0.1122
92.0;64.35667;0.0;2.0;0.07266;0.11544;-0.00036;0.11216;-0.03702;-0.0;0.11216
94.0;65.85333;0.0;2.0;0.07434;0.11358;-0.00036;0.11212;-0.037;-0.0;0.11212
96.0;67.35;0.0;2.0;0.07602;0.11162;-0.00036;0.11208;-0.03699;-0.0;0.11208
98.0;68.84667;0.0;2.0;0.07769;0.10957;-0.00036;0.11201;-0.03698;-0.0;0.11201
100.0;70.34333;0.0;2.0;0.07937;0.10739;-0.00036;0.11199;-0.03696;-0.0;0.11199
102.0;71.84;0.0;2.0;0.08105;0.1051;-0.00036;0.11195;-0.03695;-0.0;0.11195
104.0;73.33667;0.0;2.0;0.08272;0.10267;-0.00036;0.1119;-0.03694;-0.0;0.1119
106.0;74.83333;0.0;2.0;0.08439;0.10008;-0.00036;0.11184;-0.03693;-0.0;0.11185
108.0;76.33;0.0;2.0;0.08606;0.09732;-0.00036;0.1118;-0.03691;-0.0;0.1118
110.0;77.82667;0.0;2.0;0.08774;0.09435;-0.00036;0.11175;-0.03691;-0.0;0.11176
112.0;79.32333;0.0;2.0;0.08941;0.09115;-0.00036;0.1117;-0.0369;-0.0;0.1117
114.0;80.82;0.0;2.0;0.09107;0.08767;-0.00036;0.11139;-0.03694;0.0;0.11139
116.0;82.31667;0.0;2.0;0.09274;0.08382;-0.00036;0.11186;-0.03684;0.0;0.11191
118.0;83.31434;0.0;2.0;0.09385;0.08102;-0.00036;0.11134;-0.03678;-0.0;0.11136
120.0;83.6468;0.0;2.0;0.09422;0.08003;-0.00036;0.11133;-0.03674;-0.0;0.11133
122.0;83.81333;0.0;2.0;0.0944;0.07953;-0.00036;0.11134;-0.03675;-0.0;0.11134
124.0;83.97936;0.0;2.0;0.09459;0.07902;-0.00036;0.11136;-0.03675;-0.0;0.11136
378.0;0.0;195.0;2.0;0.0;0.07978;0.0;0.16287;-0.03669;-2e-05;0.1611
380.0;0.0;1.5;2.0;0.0;0.14676;-0.00037;0.11517;-0.038;-0.0;0.11517
382.0;0.0;3.0;2.0;0.0;0.14618;-0.00038;0.11711;-0.03864;-0.0;0.11711
384.0;0.0;4.5;2.0;0.0;0.1456;-0.00039;0.11904;-0.03928;-0.0;0.11904
386.0;0.0;6.0;2.0;0.0;0.145;-0.00039;0.12097;-0.0399;-0.0;0.12096
388.0;0.0;7.5;2.0;0.0;0.1444;-0.0004;0.12288;-0.04052;-0.0;0.12287
390.0;0.0;9.0;2.0;0.0;0.14379;-0.00041;0.12477;-0.04113;-0.0;0.12476
392.0;0.0;10.5;2.0;0.0;0.14317;-0.00041;0.12665;-0.04172;-0.0;0.12663
394.0;0.0;12.0;2.0;0.0;0.14254;-0.00042;0.1285;-0.0423;-0.0;0.12848
396.0;0.0;13.5;2.0;0.0;0.1419;-0.00042;0.13032;-0.04285;-0.0;0.13029
398.0;0.0;15.0;2.0;0.0;0.14125;-0.00043;0.13212;-0.04339;-0.0;0.13208
400.0;0.0;16.5;2.0;0.0;0.1406;-0.00044;0.13388;-0.0439;-0.0;0.13382
402.0;0.0;18.0;2.0;0.0;0.13993;-0.00044;0.1356;-0.04439;-0.0;0.13553
404.0;0.0;19.5;2.0;0.0;0.13927;-0.00045;0.13729;-0.04485;-0.0;0.1372
406.0;0.0;21.0;2.0;0.0;0.13859;-0.00045;0.13893;-0.04528;-0.0;0.13883
408.0;0.0;22.5;2.0;0.0;0.13791;-0.00046;0.14054;-0.04569;0.0;0.14041
410.0;0.0;24.0;2.0;0.0;0.13722;-0.00047;0.1421;-0.04606;-0.0;0.14194
412.0;0.0;25.5;2.0;0.0;0.13653;-0.00047;0.14361;-0.0464;-0.0;0.14342
414.0;0.0;27.0;2.0;0.0;0.13583;-0.00048;0.14507;-0.04671;-0.0;0.14485
416.0;0.0;28.5;2.0;0.0;0.13513;-0.00048;0.14649;-0.04699;-0.0;0.14623
418.0;0.0;30.0;2.0;0.0;0.13442;-0.00049;0.14785;-0.04723;-0.0;0.14756
420.0;0.0;31.5;2.0;0.0;0.13371;-0.00049;0.14917;-0.04744;-0.0;0.14884
422.0;0.0;33.0;2.0;0.0;0.133;-0.0005;0.15044;-0.04762;-0.0;0.15006
424.0;0.0;34.5;2.0;0.0;0.13228;-0.0005;0.15165;-0.04776;-0.0;0.15123
426.0;0.0;36.0;2.0;0.0;0.13156;-0.00051;0.15281;-0.04787;-0.0;0.15235
428.0;0.0;37.5;2.0;0.0;0.13085;-0.00051;0.15392;-0.04795;-0.0;0.15341
430.0;0.0;39.0;2.0;0.0;0.13013;-0.00052;0.15499;-0.04799;-0.0;0.15442
432.0;0.0;40.5;2.0;0.0;0.12941;-0.00052;0.156;-0.04801;-0.0;0.15537
434.0;0.0;42.0;2.0;0.0;0.12869;-0.00053;0.15696;-0.04799;-0.0;0.15628
436.0;0.0;43.5;2.0;0.0;0.12797;-0.00053;0.15787;-0.04795;-0.0;0.15713
438.0;0.0;45.0;2.0;0.0;0.12725;-0.00054;0.15873;-0.04787;-0.0;0.15794
440.0;0.0;46.5;2.0;0.0;0.12653;-0.00054;0.15955;-0.04777;-0.0;0.15869
442.0;0.0;48.0;2.0;0.0;0.12582;-0.00055;0.16032;-0.04764;-0.0;0.1594
444.0;0.0;49.5;2.0;0.0;0.1251;-0.00055;0.16105;-0.04748;-0.0;0.16006
446.0;0.0;51.0;2.0;0.0;0.12439;-0.00055;0.16173;-0.0473;-0.0;0.16068
448.0;0.0;52.5;2.0;0.0;0.12368;-0.00056;0.16237;-0.0471;-0.0;0.16125
450.0;0.0;54.0;2.0;0.0;0.12298;-0.00056;0.16297;-0.04687;-0.0;0.16179
452.0;0.0;55.5;2.0;0.0;0.12228;-0.00056;0.16352;-0.04663;-0.0;0.16228
454.0;0.0;57.0;2.0;0.0;0.12158;-0.00057;0.16404;-0.04636;-0.0;0.16274
456.0;0.0;58.5;2.0;0.0;0.12089;-0.00057;0.16453;-0.04607;-0.0;0.16315
458.0;0.0;60.0;2.0;0.0;0.1202;-0.00058;0.16497;-0.04577;-0.0;0.16353
460.0;0.0;61.5;2.0;0.0;0.11952;-0.00058;0.16538;-0.04545;-0.0;0.16388
462.0;0.0;63.0;2.0;0.0;0.11884;-0.00058;0.16576;-0.04511;-0.0;0.16419
464.0;0.0;64.5;2.0;0.0;0.11816;-0.00058;0.16611;-0.04476;-0.0;0.16448
466.0;0.0;66.0;2.0;0.0;0.11749;-0.00059;0.16642;-0.0444;-0.0;0.16473
468.0;0.0;67.5;2.0;0.0;0.11683;-0.00059;0.16671;-0.04403;-0.0;0.16496
470.0;0.0;69.0;2.0;0.0;0.11617;-0.00059;0.16697;-0.04364;-0.0;0.16516
472.0;0.0;70.5;2.0;0.0;0.11552;-0.0006;0.1672;-0.04324;-0.0;0.16533
474.0;0.0;72.0;2.0;0.0;0.11488;-0.0006;0.16741;-0.04284;-0.0;0.16548
476.0;0.0;73.5;2.0;0.0;0.11424;-0.0006;0.16759;-0.04243;-0.0;0.16561
478.0;0.0;75.0;2.0;0.0;0.1136;-0.0006;0.16776;-0.04201;-0.0;0.16572
480.0;0.0;76.5;2.0;0.0;0.11298;-0.00061;0.1679;-0.04159;-0.0;0.1658
482.0;0.0;78.0;2.0;0.0;0.11236;-0.00061;0.16802;-0.04116;-0.0;0.16587
484.0;0.0;79.5;2.0;0.0;0.11174;-0.00061;0.16812;-0.04072;-0.0;0.16592
486.0;0.0;81.0;2.0;0.0;0.11114;-0.00061;0.1682;-0.04029;-0.0;0.16596
488.0;0.0;82.5;2.0;0.0;0.11053;-0.00061;0.16827;-0.03985;-0.0;0.16598
490.0;0.0;84.0;2.0;0.0;0.10994;-0.00062;0.16832;-0.0394;-0.0;0.16599
492.0;0.0;85.5;2.0;0.0;0.10935;-0.00062;0.16836;-0.03896;0.0;0.16598
494.0;0.0;87.0;2.0;0.0;0.10877;-0.00062;0.16838;-0.03852;-0.0;0.16596
496.0;0.0;88.5;2.0;0.0;0.1082;-0.00062;0.16839;-0.03807;-0.0;0.16593
498.0;0.0;90.0;2.0;0.0;0.10763;-0.00062;0.16839;-0.03763;-0.0;0.16589
500.0;0.0;91.5;2.0;0.0;0.10707;-0.00063;0.16838;-0.03719;0.0;0.16584
502.0;0.0;93.0;2.0;0.0;0.10651;-0.00063;0.16835;-0.03675;-0.0;0.16578
504.0;0.0;94.5;2.0;0.0;0.10597;-0.00063;0.16832;-0.03631;-0.0;0.16571
506.0;0.0;96.0;2.0;0.0;0.10543;-0.00063;0.16828;-0.03587;-0.0;0.16563
508.0;0.0;97.5;2.0;0.0;0.10489;-0.00063;0.16823;-0.03544;-0.0;0.16555
510.0;0.0;99.0;2.0;0.0;0.10436;-0.00063;0.16817;-0.03501;-0.0;0.16546
512.0;0.0;100.5;2.0;0.0;0.10384;-0.00063;0.1681;-0.03458;-0.0;0.16537
514.0;0.0;102.0;2.0;0.0;0.10333;-0.00063;0.16803;-0.03416;-0.0;0.16527
516.0;0.0;103.5;2.0;0.0;0.10282;-0.00063;0.16795;-0.03374;-0.0;0.16517
518.0;0.0;105.0;2.0;0.0;0.10231;-0.00064;0.16787;-0.03333;-0.0;0.16506
520.0;0.0;106.5;2.0;0.0;0.10182;-0.00064;0.16778;-0.03292;-0.0;0.16495
522.0;0.0;108.0;2.0;0.0;0.10133;-0.00064;0.16769;-0.03251;-0.0;0.16484
524.0;0.0;109.5;2.0;0.0;0.10084;-0.00064;0.1676;-0.03212;-0.0;0.16472
526.0;0.0;111.0;2.0;0.0;0.10036;-0.00064;0.1675;-0.03172;-0.0;0.1646
528.0;0.0;112.5;2.0;0.0;0.09989;-0.00064;0.1674;-0.03133;0.0;0.16448
530.0;0.0;114.0;2.0;0.0;0.09942;-0.00064;0.16729;-0.03095;-0.0;0.16436
532.0;0.0;115.5;2.0;0.0;0.09896;-0.00064;0.16718;-0.03058;-0.0;0.16424
534.0;0.0;117.0;2.0;0.0;0.09851;-0.00064;0.16708;-0.03021;0.0;0.16412
536.0;0.0;118.5;2.0;0.0;0.09805;-0.00064;0.16696;-0.02985;-0.0;0.16399
538.0;0.0;120.0;2.0;0.0;0.09761;-0.00064;0.16685;-0.02949;-0.0;0.16387
